"TIME","GEO","UNIT","AGE","SEX","PROJECTION","Value","Flag and Footnotes"
"2019","Belgium","Person","66 years","Total","Baseline projections ","127,807",""
"2019","Belgium","Person","67 years","Total","Baseline projections ","121,295",""
"2019","Belgium","Person","68 years","Total","Baseline projections ","120,560",""
"2019","Belgium","Person","69 years","Total","Baseline projections ","118,209",""
"2019","Belgium","Person","70 years","Total","Baseline projections ","117,790",""
"2019","Belgium","Person","71 years","Total","Baseline projections ","114,771",""
"2019","Belgium","Person","72 years","Total","Baseline projections ","113,378",""
"2019","Belgium","Person","73 years","Total","Baseline projections ","94,337",""
"2019","Belgium","Person","74 years","Total","Baseline projections ","92,362",""
"2019","Belgium","Person","75 years","Total","Baseline projections ","85,819",""
"2019","Belgium","Person","76 years","Total","Baseline projections ","74,212",""
"2019","Belgium","Person","77 years","Total","Baseline projections ","65,998",""
"2019","Belgium","Person","78 years","Total","Baseline projections ","71,792",""
"2019","Belgium","Person","79 years","Total","Baseline projections ","75,294",""
"2019","Belgium","Person","80 years","Total","Baseline projections ","73,735",""
"2019","Belgium","Person","81 years","Total","Baseline projections ","68,030",""
"2019","Belgium","Person","82 years","Total","Baseline projections ","63,245",""
"2019","Belgium","Person","83 years","Total","Baseline projections ","59,088",""
"2019","Belgium","Person","84 years","Total","Baseline projections ","56,203",""
"2019","Belgium","Person","85 years","Total","Baseline projections ","51,625",""
"2019","Belgium","Person","86 years","Total","Baseline projections ","48,931",""
"2019","Belgium","Person","87 years","Total","Baseline projections ","44,054",""
"2019","Belgium","Person","88 years","Total","Baseline projections ","39,132",""
"2019","Belgium","Person","89 years","Total","Baseline projections ","31,850",""
"2019","Belgium","Person","90 years","Total","Baseline projections ","26,543",""
"2019","Belgium","Person","91 years","Total","Baseline projections ","21,765",""
"2019","Belgium","Person","92 years","Total","Baseline projections ","17,766",""
"2019","Belgium","Person","93 years","Total","Baseline projections ","14,291",""
"2019","Belgium","Person","94 years","Total","Baseline projections ","10,933",""
"2019","Belgium","Person","95 years","Total","Baseline projections ","8,147",""
"2019","Belgium","Person","96 years","Total","Baseline projections ","5,826",""
